output.Answer,aqs,aqs_initial
50,1e-08,1e-08
50,1e-08,1e-08
50,1e-08,1e-08
50,1e-08,1e-08
50,1e-08,1e-08
50,1e-08,1e-08
50,1e-08,1e-08
50,1e-08,1e-08
50,1e-08,1e-08
50,1e-08,1e-08
50,0.27940705871013705,0.2931547619047619
50,0.4790750541319024,0.41666666666666663
50,1e-08,1e-08
50,1e-08,1e-08
50,1e-08,1e-08
50,1e-08,1e-08
50,1e-08,1e-08
50,1e-08,1e-08
50,1e-08,1e-08
50,1e-08,1e-08
50,1e-08,1e-08
50,1e-08,1e-08
50,0.3761798136128914,0.34062500000000007
50,1e-08,1e-08
50,1e-08,1e-08
50,0.1659100516766777,0.1597222222222222
50,0.6227805678388417,0.5791666666666668
50,1e-08,1e-08
50,1e-08,1e-08
50,0.3878256864385986,0.3550000000000001
50,0.21475134653672018,0.2305555555555556
50,0.22835100320748272,0.21875000000000003
50,1e-08,1e-08
50,0.15720556230885258,0.16666666666666666
50,1e-08,1e-08
50,0.5907188798816235,0.4947916666666667
50,1e-08,1e-08
50,1e-08,1e-08
50,0.6051365323727586,0.5533333333333333
50,0.17931632746498102,0.21666666666666665
50,0.38437746364829084,0.31770833333333337
50,1e-08,1e-08
50,1e-08,1e-08
